"Academia Economic Papers","Academia Econ. Pap.","",""
"Accounting Review","Acc. Rev.","",""
"Accounting, Business and Financial History","Acc."," Bus. Finan. Hist.",""
"ACES Bulletin","ACES Bull.","",""
"Acta Oeconomica","Acta Oecon.","",""
"Advancing the Consumer Interest","Advanc. Cons. Interest","",""
"African Development Review","African Devel. Rev.","",""
"Revue Africaine de Developpement","Revue Africaine Devel.","",""
"African Economic History","African Econ. Hist.","",""
"African Finance Journal","African Finance J.","",""
"Afrika Spectrum","Afrika Spec.","",""
"Agenda","Agenda","",""
"Agribusiness","Agribusiness","",""
"Agricultural and Resource Economics Review","Agr. Resource Econ. Rev.","",""
"Agricultural Economics Research","Agr. Econ. Res.","",""
"Agricultural Economics","Agr. Econ.","",""
"Agricultural Finance Review","Agr. Finance Rev.","",""
"Agriculture and Human Values","Agr. Human Values","",""
"Agriculture and Resources Quarterly","Agr. Resources Quart.","",""
"Agronomia Mesoamericana","Agronomia Mesoamericana","",""
"Allgemeines Statistisches Archiv","Allgemeines Statistisches Arch.","",""
"Journal of the German Statistical Society","J. German Statistical Society","",""
"American Economic Review","Amer. Econ. Rev.","",""
"American Economist","Amer. Economist","",""
"American Enterprise","Amer. Enterprise","",""
"American Historical Review","Amer. Historical Rev.","",""
"American Journal of Agricultural Economics","Amer. J. Agr. Econ.","",""
"American Journal of Economics and Sociology","Amer. J. Econ. Sociology","",""
"American Law and Economics Review","Amer. Law Econ. Rev.","",""
"American Political Science Review","Amer. Polit. Sci. Rev.","",""
"American Prospect","Amer. Prospect","",""
"American Real Estate and Urban Economics Association Journal","Amer. Real Estate Urban Econ. Assoc. J.","",""
"American Statistician","Amer. Statistician","",""
"Analyse Prévision","Anal. Prévision","",""
"Annales d'Economie et de Statistique","Ann. Econ. Statist.","",""
"Annales de l'INSEE","Ann. INSEE","",""
"Annales de Sciences Economiques Appliqués","Ann. Sci. Econ. Appl.","",""
"Annali della facoltà di Economia e Commercio, Università Palermo","Ann. Fac. Econ. Com."," Univ. Palermo",""
"Annals of Economic and Social Measurement","Ann. Econ. Soc. Meas.","",""
"Annals of Economics and Finance","Ann. Econ. Finance","",""
