"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"$K$-Theory","$K$-Theory"
"50th Anniversary Cracow University of Technology","50th Anniv. Cracow Univ. Technol. Anniv. Issue"
"ACM Distinguished Theses","ACM Disting. Theses"
"Association for Computing Machinery","ACM Trans. Math. Software"
"The American Institute of Chemical Engineers","AIChE J."
"AIP Conference Proceedings","AIP Conf. Proc."
"AIP Series in Computational and Applied Mathematical Physics","AIP Ser. Comput. Appl. Math. Phys."
"AIP Series in Modern Acoustics and Signal Processing","AIP Ser. Modern Acoust. Signal Process."
"AKP Classics","AKP Class."
"AMS Progress in Mathematics Lecture Series","AMS Progr. Math. Lecture Ser."
"AMS Short Course Lecture Notes","AMS Short Course Lecture Notes"
"AMS-MAA Joint Lecture Series","AMS-MAA Joint Lecture Ser."
"AMS/IP Studies in Advanced Mathematics","AMS/IP Stud. Adv. Math."
"ASA-SIAM Series on Statistics and Applied Probability","ASA-SIAM Ser. Stat. Appl. Probab."
"Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft","Abh. Braunschweig. Wiss. Ges."
"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg","Abh. Math. Sem. Univ. Hamburg"
"Abhandlungen der Mathematisch-Naturwissenschaftlichen Klasse","Abh. Math.-Naturwiss. Kl. Akad. Wiss. Lit. Mainz"
"Abstract and Applied Analysis","Abstr. Appl. Anal."
"Abstracts of Papers Presented to the American Mathematical Society","Abstracts Amer. Math. Soc."
"Académie Royale de Belgique","Acad. Roy. Belg. Bull. Cl. Sci. (6)"
"Académie Royale de Belgique","Acad. Roy. Belg. Cl. Sci. Mém. Collect. 8$\sp \rm o$ (3)"
"Académie Serbe des Sciences et des Arts","Acad. Serbe Sci. Arts Glas"
"Accès Sciences","Accès Sci."
"Acta Academiae Aboensis","Acta Acad. Abo. Ser. B"
"Acta Applicandae Mathematicae","Acta Appl. Math."
"Acta Arithmetica","Acta Arith."
"Acta Astronomica Sinica","Acta Astronom. Sinica"
"Acta Astrophysica Sinica","Acta Astrophys. Sinica"
