"Acta Astronomica","Acta Astron."
"Annual Review of Astronomy and Astrophysics","ARA&A"
"Astronomische Nachrichten","Astron. Nachrichten"
"Astronomy and Astrophysics","A&A"
"Astrophysics and Space Science","Ap&SS"
"GRB Coordinates Network","NASA-GCN"
"Journal of Cosmology and Astro-Particle Physics","J. Cosmology & Astro-Part. Phys."
"Monthly Notices of the Royal Astronomical Society","MNRAS"
"Nature","Nat"
"New Astronomy Review","New Astron. Rev."
"Physics Reports","Phys. Rep."
"Publications of the Astronomical Society of the Pacific","PASP"
"Science","Sci"
"Space Science Reviews","Space Sci. Rev."
"The Astronomical Journal","AJ"
"The Astrophysical Journal","ApJ"
"The Astrophysical Journal Letters","ApJ"
