"""Brevia""","Brevia (Rome)"
"""Dens sapiens""","Dens Sapiens"
"""Il Bassini""","Bassini"
"""Laboratorio;"" analisis clinicos, bacteriologia, inmunologia, parasitologia, hematologia, anatomia patologica, quimica clinica","Laboratorio"
"'Adiyat Halab","Adiyat Halab"
"'Iraq (1977)","Iraq"
"1199 news. National Union of Hospital and Health Care Employees. District 1199","1199 News"
"20 century British history","20 Century Br Hist"
"21st century science & technology","21st Century Sci Technol"
"<Le > Bulletin trimestriel du planning familial","Bull Trimest Plan Fam"
"A Crianca portuguesa","Crianca Port"
"A Current bibliography on African affairs","Curr Bibliogr Afr Aff"
"A Journal of Church and State","J Church State"
"A Pediatria; revista mensal de clinica, patologia e higiene infantil","Pediatria (Rio)"
"A common place","Common Place"
"A journal of Jewish medical ethics and halacha","J Jew Med Ethics Halacha"
"A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs","Rep Natl Forum Hosp Health Aff"
"A&M : advertising and marketing","A & M"
"A. M. A. archives of dermatology","AMA Arch Derm"
"A. M. A. archives of dermatology and syphilology","AMA Arch Derm Syphilol"
"A. M. A. archives of industrial hygiene and occupational medicine","A M A Arch Ind Hyg Occup Med"
"A. M. A. archives of neurology","AMA Arch Neurol"
"A. M. A. archives of neurology and psychiatry","AMA Arch Neurol Psychiatry"
"A. M. A. archives of pathology","AMA Arch Pathol"
"A.A.G. bijdragen / Afdeling Agrarische Geschiedenis, Landbouwhogeschool","A A G Bijdr"
"A.I.D. evaluation news","AID Eval News"
"A.M.A. American journal of diseases of children","AMA Am J Dis Child"
"A.M.A. archives of industrial health","AMA Arch Ind Health"
"A.M.A. archives of internal medicine","AMA Arch Intern Med"
"A.M.A. archives of ophthalmology","AMA Arch Ophthalmol"
"A.M.A. archives of otolaryngology","AMA Arch Otolaryngol"
"A.M.A. archives of surgery","AMA Arch Surg"
"A.M.A. journal of diseases of children","AMA J Dis Child"
"A.R.A.G. national newsletter / Abortion Reform Action Group","ARAG Natl Newsl"
"A.W.R. Bulletin. Association for the Study of the World Refugee Problem","AWR Bull"
"AA : l'architecture d'aujourd'hui","Archit Aujourdhui"
"AACN advanced critical care","AACN Adv Crit Care"
"AACN clinical issues","AACN Clin Issues"
"AACN clinical issues in critical care nursing","AACN Clin Issues Crit Care Nurs"
"AADE editors' journal","AADE Ed J"
"AAHS journal / American Aviation Historical Society","AAHS J"
"AANA journal","AANA J"
"AANNT journal / the American Association of Nephrology Nurses and Technicians","AANNT J"
"AAOHN journal : official journal of the American Association of Occupational Health Nurses","AAOHN J"
"AAPG bulletin","Am Assoc Pet Geol Bull"
"AAPPO journal : the journal of the American Association of Preferred Provider Organizations","AAPPO J"
"AAPS PharmSciTech","AAPS PharmSciTech"
"AAPS pharmSci","AAPS PharmSci"
"AARCTimes","AARC Times"
"AARN news letter","AARN News Lett"
"AB bookman's weekly : for the specialist book world","AB Bookm Wkly"
"ABA journal","ABA J"
"ABC decor","ABC Decor"
"ACE quarterly","ACE Q"
"ACM queue : tomorrow's computing today","ACM Queue"
"ACOG committee opinion","ACOG Comm Opin"
"ACOG educational bulletin","ACOG Educ Bull"
"ACOG nurses bulletin","Acog Nurse Bull"
"ACOG technical bulletin","ACOG Tech Bull"
"ACP journal club","ACP J Club"
"ACRH [reports]. U.S. Atomic Energy Commission","ACRH Rep"
"ACS chemical biology","ACS Chem Biol"
"AD nurse","AD Nurse"
"ADA news","ADA News"
"ADM (Asociacion Dental Mexicana : 1986)","ADM"
"ADM; revista de la Asociacion Dental Mexicana","ADM"
"AFOSR TN. United States. Air Force. Office of Scientific Research","AFOSR TN United States Air Force Off Sci Res"
"AFOSR TR. United States. Air Force. Office of Scientific Research","AFOSR TR United States Air Force Off Sci Res"
"AFRO technical papers","Afro Tech Pap"
"AGSO journal of Australian geology & geophysics","AGSO J Aust Geol Geophys"
"AHA hospital technology series","AHA Hosp Technol Ser"
"AHIP Coverage","AHIP Cover"
"AHME journal","AHME J"
"AHP journal / Association for Healthcare Philanthropy","AHP J"
"AIA journal. American Institute of Architects","AIA J"
"AIAA student journal. American Institute of Aeronautics and Astronautics","AIAA Stud J"
"AICC economic review. Indian National Congress. All India Congress Committee","AICC Econ Rev"
"AIChE journal. American Institute of Chemical Engineers","AIChE J"
"AIDS & public policy journal","AIDS Public Policy J"
"AIDS & society","AIDS Soc"
"AIDS (London, England)","AIDS"
"AIDS Action policy brief","AIDS Action Policy Brief"
"AIDS Institute newsletter. New York (State). AIDS Institute","AIDS Inst Newsl"
"AIDS action","AIDS Action"
"AIDS action update / AIDS Action Foundation","AIDS Action Update"
"AIDS alert","AIDS Alert"
"AIDS analysis Africa","AIDS Anal Afr"
"AIDS analysis Asia","AIDS Anal Asia"
"AIDS and behavior","AIDS Behav"
"AIDS care","AIDS Care"
"AIDS clinical care","AIDS Clin Care"
"AIDS clinical review","AIDS Clin Rev"
"AIDS education and prevention : official publication of the International Society for AIDS Education","AIDS Educ Prev"
"AIDS health promotion exchange / World Health Organization, Global Programme on AIDS, Health Promotion Unit","AIDS Health Promot Exch"
"AIDS illustrated","AIDS Illus"
"AIDS information exchange / the United States Conference of Mayors","AIDS Inf Exch"
"AIDS patient care","AIDS Patient Care"
"AIDS patient care and STDs","AIDS Patient Care STDS"
"AIDS policy & law","AIDS Policy Law"
"AIDS research","AIDS Res"
"AIDS research and human retroviruses","AIDS Res Hum Retroviruses"
"AIDS research and therapy","AIDS Res Ther"
"AIDS reviews","AIDS Rev"
"AIDS treatment news","AIDS Treat News"
"AIDS updates","AIDS Updates"
"AIDS watch","AIDS Watch"
"AIDS weekly","AIDS Wkly"
"AIDS weekly plus","AIDS Wkly Plus"
"AIDS/STD health promotion exchange","AIDS STD Health Promot Exch"
"AIDSED newsletter : newsletter of the WHO/Unesco AIDS Education and Health Promotion Materials Exchange Centre for Asia and the Pacific","AIDSED Newsl"
"AIDSlink : Eastern, Central & Southern Africa","AIDSlink"
"AIDoS news : bimonthly bulletin of the Italian Association for Women in Development. Associazione italiana donne per lo sviluppo","Aidos News"
"AIHA journal : a journal for the science of occupational and environmental health and safety","AIHA J (Fairfax, Va)"
"AIHAJ : a journal for the science of occupational and environmental health and safety","AIHAJ"
"AIPLA quarterly journal / American Intellectual Property Law Association","AIPLA Q J"
"AJNR. American journal of neuroradiology","AJNR Am J Neuroradiol"
"AJR. American journal of roentgenology","AJR Am J Roentgenol"
"AJS review. Association for Jewish Studies","AJS Rev"
"AJS; American journal of sociology","AJS"
"ALAFO; revista de la Asociacion Latinoamericana de Facultades de Odontologia","ALAFO"
"ALTEX : Alternativen zu Tierexperimenten","ALTEX"
"AM [reports]. United States. Office of Aviation Medicine","AM Rep"
"AMB; revista da Associacao Medica Brasileira","AMB Rev Assoc Med Bras"
"AMD-TR [reports]. United States. Aerospace Medical Division","AMD TR Rep"
"AMDI bollettino","AMDI Boll"
"AMHC forum","AMHC Forum"
"AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium","AMIA Annu Symp Proc"
"AMIF","Amif"
"AMRL-TR. Aerospace Medical Research Laboratories (6570th)","AMRL TR"
"AMRO","AMRO"
"AN. Arkansas nurse","AN Ark Nurse"
"ANA clinical conferences","ANA Clin Conf"
"ANA clinical sessions","ANA Clin Sess"
"ANEC","ANEC"
"ANL","ANL Rep"
"ANNA journal / American Nephrology Nurses' Association","ANNA J"
"ANPHI papers","ANPHI Pap"
"ANQ","ANQ"
"ANS. Advances in nursing science","ANS Adv Nurs Sci"
"ANU historical journal","ANU Hist J"
"ANZ journal of surgery","ANZ J Surg"
"ANZHES journal. Australian and New Zealand History of Education Society","Anzhes J"
"AOHA : a publication of the American Osteopathic Hospital Association","AOHA"
"AOHA today","AOHA Today"
"AORN journal","AORN J"
"APDI newsletter. United Nations Asian and Pacific Development Institute","APDI Newsl"
"APIC","APIC"
"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica","APMIS"
"APMIS. Supplementum","APMIS Suppl"
"APS observer","APS Obs"
"AQ (Balmain, N.S.W.)","AQ"
"ARKIVOC : free online journal of organic chemistry / Arkat-USA, Inc","ARKIVOC"
"ARN journal : the official journal of the Association of Rehabilitation Nurses","ARN J"
"ARTnews","ARTnews"
"ASA newsletter","ASA Newsl"
"ASAIO journal (American Society for Artificial Internal Organs : 1992)","ASAIO J"
"ASAIO transactions / American Society for Artificial Internal Organs","ASAIO Trans"
"ASDA news (American Student Dental Association : 1981)","ASDA News"
"ASDC journal of dentistry for children","ASDC J Dent Child"
"ASEAN economic bulletin","ASEAN Econ Bull"
"ASGSB bulletin : publication of the American Society for Gravitational and Space Biology","ASGSB Bull"
"ASHA","ASHA"
"ASHA monographs","ASHA Monogr"
"ASHA. Supplement","ASHA Suppl"
"ASM news","ASM News"
"ASNA reporter","ASNA Rep"
"ASTM standardization news","ASTM Stand News"
"ATLA abstracts","ATLA Abstr"
"AUAA journal : official journal of the American Urological Association Allied","AUAA J"
"AV communication review","Av Commun Rev"
"AVISO (Ottawa, Ont.)","AVISO"
"AVS news / Association for Voluntary Sterilization","AVS News"
"AVSC news (Association for Voluntary Surgical Contraception (U.S.))","AVSC News"
"AWHONN lifelines / Association of Women's Health, Obstetric and Neonatal Nurses","AWHONN Lifelines"
"AWHONN voice / Association of Women's Health, Obstetric, and Neonatal Nurses (AWHONN)","AWHONN Voice"
"AWHONN's clinical issues in perinatal and women's health nursing","AWHONNS Clin Issues Perinat Womens Health Nurs"
"Aachener Kunstblatter (DuMont Buchverlag)","Aachen Kunstbl"
"Aarsberetning - Kobenhavns universitets medicinsk-historiske institut og museum","Arsberet Kbh Univ Med Hist Inst Mus"
"Aarsberetning - Kobenhavns universitets medicinsk-historiske museum","Arsberet Kobenhavns Univ Med Hist Mus"
"Aastaraamat - Eesti Teadusliku Seltsi Rootsis. Annales - Societatis Litterarum Estonicae in Svecia. Eesti Teaduslik Selts Rootsis","Aastaraam Eesti Tead Seltsi Rootsis"
"Abbottempo","Abbottempo"
"Abdominal imaging","Abdom Imaging"
"Abdominal surgery","Abdom Surg"
"Aberdeen University review","Aberdeen Univ Rev"
"Abhandlungen und Berichte (Deutsches Museum (Germany))","Abh Ber Dtsch Mus"
"Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde, Dresden. Staatliches Museum fur Volkerkunde Dresden","Abh Ber Staatl Mus Voelkerkd Dres"
"Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften","Abh Gesch Med Naturwiss"
"Aboriginal And Islander Health Worker Journal","Aborig Isl Health Work J"
"Abortion Review","Abortion Rev"
"Abortion research notes / International Reference Center for Abortion Research","Abort Res Notes"
"Abr-Nahrain : an annual under the auspices of the Department of Semitic Studies, University of Melbourne","Abr Nahain"
"Abstracts - Society for Neuroscience. Society for Neuroscience","Abstr Soc Neurosci"
"Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting","Abstr Gen Meet Am Soc Microbiol"
"Academia Peruana de Cirugia","Acad Peru Cir"
"Academic emergency medicine : official journal of the Society for Academic Emergency Medicine","Acad Emerg Med"
"Academic medicine : journal of the Association of American Medical Colleges","Acad Med"
"Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry","Acad Psychiatry"
"Academic psychology bulletin","Academic Psychol Bull"
"Academic radiology","Acad Radiol"
"Academy news (Milwaukee, Wis.)","Acad News"
"Academy of Management journal. Academy of Management","Acad Manage J"
"Academy of management review. Academy of Management","Acad Manage Rev"
"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale","Acad Rev Calif Acad Periodontol"
"Acadiensis","Acadiensis"
"Acarologia","Acarologia"
"Accademia medica","Accad Medica"
"Accademia nazionale dei Lincei. Fondazione Leone Caetani","Accad Naz Lincei Rome"
"Accademie e biblioteche d'Italia","Accad Bibl Ital"
"Accident and emergency nursing","Accid Emerg Nurs"
"Accident; analysis and prevention","Accid Anal Prev"
"Accountability in research","Account Res"
