"3D Printing and Additive Manufacturing","3D Print. Addit. Manuf.",""
"ABB Review","ABB Rev.",""
"ACM Journal of Data and Information Quality","ACM J. Data Inf. Qual.",""
"ACM Journal on Computing and Cultural Heritage","ACM J. Comput. Cult. Heritage",""
"ACM Journal on Emerging Technologies in Computing","ACM J. Emerging Technol. Comput.",""
"ACM Transactions on Accessible Computing","ACM Trans. Accessible Comput.",""
"ACM Transactions on Asian Language Information Processing","ACM Trans. Asian Lang. Inf. Process.",""
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM Trans. Asian Low-Resour. Lang. Inf. Process.",""
"ACM Transactions on Computing Education","ACM Trans. Comput. Educ.",""
"ACM Transactions on Intelligent Systems and Technology","ACM Trans. Intell. Syst. Technol.",""
"ACM Transactions on Interactive Intelligent Systems","ACM Trans. Interact. Intell. Syst.",""
"ACM Transactions on Knowledge Discovery from Data","ACM Trans. Knowl. Discovery Data",""
"ACM Transactions on Management Information Systems","ACM Trans. Manage. Inf. Syst.",""
"ACM Transactions on Reconfigurable Technology and Systems","ACM Trans. Reconfigurable Technol. Syst.",""
"ACM Transactions on Speech and Language Processing","ACM Trans. Speech Lang. Process.",""
"ACM Transactions on Storage","ACM Trans. Storage",""
"APL: Organic Electronics and Photonics","APL: Org. Electron. Photonics",""
"ASTM Special Technical Publication","ASTM Spec. Tech. Publ.",""
"ASTRA Proceedings","ASTRA Proc.",""
"ATLA, Alternatives to Laboratory Animals","ATLA, Altern. Lab. Anim.",""
"Abhandlungen aus dem Westfälischen Museum für Naturkunde","Abh. Westfäl. Mus. Nat.kd.",""
"Abhandlungen der Akademie der Wissenschaften der DDR","Abh. Akad. Wiss. DDR",""
"Abhandlungen der Akademie der Wissenschaften der DDR, Abteilung Mathematik, Naturwissenschaften, Technik","Abh. Akad. Wiss. DDR, Abt. Math., Naturwiss., Tech.",""
"Abhandlungen der Naturforschenden Gesellschaft in Zürich","Abh. Nat.forsch. Ges. Zür.",""
"Abhandlungen des Naturwissenschaftlichen Vereins zu Bremen","Abh. Nat.wiss. Ver. Bremen",""
"Abstracta Botanica","Abstr. Bot.",""
"Academia","Academia",""
"Achievements in the Life Sciences","Achiev. Life Sci.",""
"Acoustical Science and Technology","Acoust. Sci. Technol.",""
"Acta Agralia Fennica","Acta Agral. Fenn.",""
"Acta Agraria et Silvestria, Seria Lesna, Krakau","Acta Agrar. Silv., Ser. Lesn. (Krak.)",""
"Acta Bernensia","Acta Bern.",""
"Acta Biologica Montana","Acta Biol. Mont.",""
"Acta Botanica Fennica","Acta Bot. Fenn.",""
"Acta Chimica Hungarica","Acta Chim. Hung.",""
"Acta Ciencia Indica Chemistry","Acta Cienc. Indica, Chem.",""
"Acta Crystallographica, Section A: Foundations of Crystallography","Acta Crystallogr., Sect. A: Found. Crystallogr.",""
"Acta Crystallographica, Section B: Structural Science","Acta Crystallogr., Sect. B: Struct. Sci.",""
"Acta Crystallographica, Section C: Crystal Structure Communications","Acta Crystallogr., Sect. C: Cryst. Struct. Commun.",""
"Acta Crystallographica, Section E: Structure Reports Online","Acta Crystallogr., Sect. E: Struct. Rep. Online",""
"Acta Crystallographica, Section F: Structural Biology and Crystallization Communications","Acta Crystallogr., Sect. F: Struct. Biol. Cryst. Commun.",""
"Acta Forestalia Fennica","Acta For. Fenn.",""
"Acta Geodaetica et Geophysica","Acta Geod. Geophys.",""
"Acta Geographica Sinica","Acta Geogr. Sin.",""
"Acta Hydrophysica","Acta Hydrophys.",""
"Acta Instituti Forestalis Zvolenensis","Acta Inst. For. Zvolen.",""
"Acta Oecologica","Acta Oecol.",""
"Acta Palaeobotanica","Acta Palaeobot.",""
"Acta Physica Polonica, A","Acta Phys. Pol., A",""
"Acta Physica Polonica, B","Acta Phys. Pol., B",""
"Acta Phytogeographica Suecica","Acta Phytogeogr. Suec.",""
"Acta Phytomedica","Acta Phytomed.",""
"Acta Societatis pro Fauna et Flora Fennica","Acta Soc. Fauna Flora Fenn.",""
"Acta scientiarum naturalium Academiae scientiarum Bohemoslovaca","Acta sci. nat. Acad. sci. Bohemoslov.",""
"Actes de la Société helvétique des sciences naturelles","Actes Soc. helv. sci. nat.",""
"Actes de la Société jurassienne d'émulation","Actes Soc. jura. émul.",""
"Additive Manufacturing","Addit. Manuf.",""
"Advanced Device Materials","Adv. Device Mater.",""
"Advanced Manufacturing: Polymer & Composites Science","Adv. Manuf. Polym. Compos. Sci.",""
"Advanced Materials Forum","Adv. Mater. Forum",""
"Advanced Science","Adv. Sci.",""
"Advances in Building Energy Research","Adv. Build. Energy Res.",""
"Advances in Chromatography (New York, NY, United States)","Adv. Chromatogr. (N. Y., NY, U. S.)",""
"Advances in Climate Change Research","Adv. Clim. Change Res.",""
"Advances in Engineering Education","Adv. Eng. Educ.",""
"Advances in Ethology","Adv. Ethol.",""
"Advances in Geosciences","Adv. Geosci.",""
"Advances in Hydrogen Energy","Adv. Hydrogen Energy",""
"Advances in Mechanics","Adv. Mech.",""
"Advances in Medical Science","Adv. Med. Sci.",""
"Advances in Modelling and Analysis A","Adv. Model. Anal. A",""
"Advances in Modelling and Analysis B","Adv. Model. Anal. B",""
"Advances in Molten Salt Chemistry","Adv. Molten Salt Chem.",""
"Advances in Oceanography and Limnology","Adv. Oceanogr. Limnol.",""
"Advances in OptoElectronics","Adv. OptoElectron.",""
"Advances in Photochemistry","Adv. Photochem.",""
"Advances in Plant Pathology","Adv. Plant Pathol.",""
"Advances in Radio Science","Adv. Radio Sci.",""
"Advances in Science and Research","Adv. Sci. Res.",""
"Advances in Statistical Climatology, Meteorology and Oceanography","Adv. Stat. Climatol. Meteorol. Oceanogr.",""
"Advances in Transportation Studies","Adv. Transp. Stud.",""
"Advances in Water Research","Adv. Water. Res.",""
"Aesthetic Surgery Journal","Aesthetic Surg. J.",""
"Agal Research","Agal Res.",""
"Agricoltore ticinese","Agric. ticin.",""
"Agricoltura Italiana","Agric. Ital.",""
"Agricultural Information Bulletin USDA Forest Service","Agric. Inf. Bull. USDA For. Serv.",""
"Agriculture Handbook","Agric. Handb.",""
"Agriculture, Ecosystems and Environment","Agric. Ecosyst. Environ.",""
"Agrokhimiya","Agrokhimiya",""
"Ain Shams Engineering Journal","Ain Shams Eng. J.",""
"Al servizio del bosco e del paesaggio","Al serv. bosco paesaggio",""
"Alcohol (New York)","Alcohol (N.Y.)",""
"Alcoholism and Drug Addiction","Alcohol Drug Addict.",""
"Allgemeine Forst Zeitschrift für Waldwirtschaft und Umweltvorsorge [AFZ-Der Wald]","Allg. Forst Z. Waldwirtsch. Umweltvorsorge",""
"Allgemeine Forst- und Jagdzeitung","Allg. Forst- Jagdztg.",""
"Allionia","Allionia",""
"Alpen, Die","Alpen",""
"Aluminium (Duesseldorf)","Aluminium (Duesseldorf)",""
"Aluminum Transactions","Alum. Trans.",""
"American Concrete Institute, SP","Am. Concr. Inst., SP",""
"American Journal of Neuroprotection and Neuroregeneration","Am. J. Neuroprot. Neuroregener.",""
"American Journal of Nuclear Medicine and Molecular Imaging","Am. J. Nucl. Med. Mol. Imaging",""
"American Journal of Plant Science","Am. J. Plant Sci.",""
"Aménagement du territoire","Aménage. territ.",""
"Anal. Chem. Indian Journal of Chemistry, Section A: Inorganic, Bio-inorganic, Physical, Theoretical & Analytical Chemistry","Indian J. Chem., Sect. A: Inorg., Bio-inorg., Phys., Theor.",""
"Anales de Bromatologia","An. Bromatol",""
"Analytical Chemistry Research","Anal. Chem. Res.",""
"Analytical Chemistry Symposia Series","Anal. Chem. Symp. Ser.",""
"Analytical Sciences: X-Ray Structure Analysis Online","Anal. Sci.: X-Ray Struct. Anal. Online",""
"Angewandte Chemie, International Edition in English","Angew. Chem., Int. Ed. Engl.",""
"Angewandte Entomologie","Angew. Entomol.",""
"Angewandte Landschaftsökologie","Angew. Landsch.ökol.",""
"Angewandte Pflanzensoziologie","Angew. Pflanzensoziol.",""
"Animal Biotelemetry","Anim. Biotelem.",""
"Animal Welfare Information Center Bulletin","Anim. Welfare Inf. Cent. Bull.",""
"Annalen der Schweizerischen meteorologischen Anstalt","Ann. Schweiz. meteorol. Anst.",""
"Annales Henri Poincaré","Ann. Henri Poincaré",""
"Annales Historico-Naturales Musei Nationalis Hungarici","Ann. Hist.-Nat. Mus. Natl. Hung.",""
"Annales de Chimie (Paris, France)","Ann. Chim. (Paris, Fr.)",""
"Annales de Chimie - Science des Materiaux","Ann. Chim. - Sci. Mater.",""
"Annales de l’École nationale des eaux et forêts et de la station de recherches et expériences forestières","Ann. Éc. Natl. Eaux For.",""
"Annales des sciences forestières","Ann. sci. for.",""
"Annali Accademia Italiana di Scienze Forestali","Ann. Accad. Ital. Sci. For.",""
"Annali della Sperimentazione Agraria","Ann. Sper. Agrar.",""
"Annali dell’Istituto Sperimentale per la Selvicoltura","Ann. Ist. Sper. Selvic.",""
"Annali dell’Istituto Sperimentale per l’Assestamento Forestale e per l’Alpicoltura","Ann. Ist. Sper. Assest. For. Alpic.",""
"Annali di Chimica (Rome, Italy)","Ann. Chim. (Rome, Italy)",""
"Annals of Clinical and Translational Neurology","Ann. Clin. Transl. Neurol.",""
"Annals of Physics (Oxford, United Kingdom)","Ann. Phys. (Oxford, U. K.)",""
"Annals of Physics (San Diego, CA, United States)","Ann. Phys. (San Diego, CA, U. S.)",""
"Annals of Solid and Structural Mechanics","Ann. Solid Struct. Mech.",""
"Annexins","Annexins",""
"Annual Review of Animal Biosciences","Annu. Rev. Anim. Biosci.",""
"Annual Review of Earth and Planetary Science Letters","Annu. Rev. Earth Planet. Sci. Lett.",""
"Annual Review of Ecology, Evolution, and Systematics","Annu. Rev. Ecol. Evol. Syst.",""
"Anti-Infective Agents in Medicinal Chemistry","Anti-Infect. Agents Med. Chem.",""
"Antiqua","Antiqua",""
"Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz","Anz. Schädl.kd. Pflanzenschutz Umweltschutz",""
"Applications in Plant Sciences","Appl. Plant Sci.",""
"Applied Adhesion Science","Appl. Adhes. Sci.",""
"Applied Artifical Intelligence","Appl. Artif. Intell.",""
"Applied Biochemistry and Microbiology (Translation of Prikladnaya Biokhimiya i Mikrobiologiya)","Appl. Biochem. Microbiol.",""
"Applied Ecology Abstracts","Appl. Ecol. Abstr.",""
"Applied Mathematics Research eXpress","Appl. Math. Res. eXpress",""
"Applied Petrochemical Research","Appl. Petrochem. Res.",""
"Applied Physics A: Solids and Surfaces","Appl. Phys. A",""
"Applied Physics B: Photophysics and Laser Chemistry","Appl. Phys. B",""
"Applied Polymer Composites","Appl. Polym. Compos.",""
"Applied Water Science","Appl. Water Sci.",""
"Aquaculture Reports","Aquacult. Rep.",""
"Aquatic Biosystems","Aquat. Biosyst.",""
"Aquatic Conservation: Marine and Freshwater Ecosystems","Aquat. Conserv. Mar. Freshwater Ecosyst.",""
"Arachnologische Mitteilungen","Arachnol. Mitt.",""
"Arbeiten aus dem Anatomischen Institut der Kaiserlich-Japanischen Universitaet zu Sendai","Arb. Anat. Inst. Kais.-Jpn. Univ. Sendai",""
"Arboricultural Journal","Arboric. J.",""
"Archiv für Forstwesen","Arch. Forstwes.",""
"Archiv für Hydrobiologie","Arch. Hydrobiol.",""
