"2D Materials","2D Mater."
"AAPG Bulletin","AAPG Bull."
"AAPG Memoir","AAPG Mem."
"ACS Applied Energy Materials","ACS Appl. Energy Mater."
"ACS Applied Materials & Interfaces","ACS Appl. Mater. Interfaces"
"ACS Applied Nano Materials","ACS Appl. Nano Mater."
"ACS Energy Letters","ACS Energy Lett."
"ACS Nano","ACS Nano"
"ACS Omega","ACS Omega"
"ACS Photonics","ACS Photonics"
"AGSO Journal of Australian Geology and Geophysics","AGSO J. Aust. Geol. Geophys."
"AIAA Journal","AIAA J."
"AIChE Journal","AIChE J."
"AIP Advances","AIP Adv."
"AIP Conference Proceedings","AIP Conf. Proc."
"APL Bioengineering","APL Bioeng."
"APL Materials","APL Mater."
"APL Photonics","APL Photonics"
"ASME Journal of Applied Mechanics","J. Appl. Mech. Trans. ASME"
"AVS Quantum Science","AVS Quantum Sci."
"Accounts of Chemical Research","Acc. Chem. Res."
"Acta Chemica Scandinavica","Acta Chem. Scand."
"Acta Crystallographica, Section A: Crystal Physics, Diffraction,Theoretical and General Crystallography","Acta Crystallogr. Sec. A"
"Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry","Acta Crystallogr. Sec. B"
"Acta Crystallographica","Acta Crystallogr."
"Acta Geologica Sinica","Acta Geol. Sin."
"Acta Geophysica","Acta Geophys."
"Acta Geotechnica","Acta Geotech."
"Acta Mathematica Academiae Scientiarum Hungaricae","Acta Math. Acad. Sci. Hung."
"Acta Metallurgica","Acta Metall."
"Acta Physica Austriaca","Acta Phys. Austriaca"
"Acta Physica Polonica A","Acta Phys. Pol. A"
"Acta Physica Polonica B","Acta Phys. Pol. B"
"Acta Physica Polonica","Acta Phys. Pol."
"Acta Physica","Acta Phys."
"Acta Seismologica Sinica","Acta Seismol. Sin."
"Acustica","Acustica"
"Advanced Electronic Materials","Adv. Electron. Mater."
"Advanced Energy Materials","Adv. Energy Mater."
"Advanced Engineering Materials","Adv. Eng. Mater."
"Advanced Functional Materials","Adv. Funct. Mater."
"Advanced Materials Interfaces","Adv. Mater. Interfaces"
"Advanced Materials Technologies","Adv. Mater. Technol."
"Advanced Materials for Optics and Electronics","Adv. Mater. Opt. Electron."
"Advanced Materials","Adv. Mater."
"Advanced Optical Materials","Adv. Opt. Mater."
"Advanced Quantum Technologies","Adv. Quantum Technol."
"Advances in Applied Mechanics","Adv. Appl. Mech."
"Advances in Atomic and Molecular Physics","Adv. At. Mol. Phys."
"Advances in Chemical Physics","Adv. Chem. Phys."
"Advances in Fluid Mechanics","Adv. Fluid Mech."
"Advances in Magnetic Resonance","Adv. Magn. Reson."
"Advances in Natural Sciences: Nanoscience and Nanotechnology","Adv. Nat. Sci.: Nanosci. Nanotechnol."
"Advances in Nuclear Physics","Adv. Nucl. Phys."
"Advances in Optics and Photonics","Adv. Opt. Photonics"
"Advances in Physics","Adv. Phys."
"Advances in Quantum Chemistry","Adv. Quantum Chem."
"Advances in Space Research","Adv. Space Res."
"Advances in Water Resources","Adv. Water Res."
"Advances in X-Ray Analysis","Adv. X-Ray Anal."
"Akusticheskii Zhurnal [Soviet PhysicsAcoustics]","Akust. Zh. [Sov. Phys. Acoust.]"
"American Association of Petroleum Geologists Bulletin","Am. Assoc. Pet. Geol. Bull."
"American Journal of Physics","Am. J. Phys."
"American Journal of Science","Am. J. Sci."
"American Laboratory","Am. Lab."
"American Mineralogist","Am. Mineral."
"Analytical Chemistry","Anal. Chem."
"Analytical Letters","Anal. Lett."
"Analytical Methods","Anal. Methods"
"Analytical Sciences","Anal. Sci."
"Andean Geology","Andean Geol."
"Angewandte Chemie International Edition","Angew. Chem. - Int. Ed."
"Annalen der Physik (Leipzig)","Ann. Phys. (Leipzig)"
"Annalen der Physik","Ann. Phys. (Berlin)"
"Annales de Chimie et de Physique","Ann. Chim. Phys."
"Annales de Geophysique","Ann. Geophys."
"Annales de Physique (Paris)","Ann. Phys. (Paris)"
"Annales de l'Institut Henri Poincaré, Section A: Physique Theorique","Ann. Inst. Henri Poincaré, A"
"Annales de l'Institut Henri Poincaré, Section B: Calculdes Probabilités et Statistique","Ann. Inst. Henri Poincaré, B"
"Annales de l'Institut Henri Poincaré","Ann. Inst. Henri Poincaré"
"Annals of Fluid Dynamics","Ann. Fluid Dyn."
"Annals of GIS","Ann. Gis"
"Annals of Glaciology","Ann. Glaciol."
"Annals of Mathematics","Ann. Math."
"Annals of Physics (New York)","Ann. Phys. (N.Y.)"
"Annals of Physics","Ann. Phys. (NY)"
"Annals of the New York Academy of Sciences","Ann. N.Y. Acad. Sci."
"Annual Review of Astronomy and Astrophysics","Annu. Rev. Astron. Astrophys."
"Annual Review of Atomic and Molecular Physics","Annu. Rev. At. Mol. Phys."
"Annual Review of Condensed Matter Physics","Annu. Rev. Condens. Matter Phys."
"Annual Review of Earth and Planetary Sciences","Annu. Rev. Earth Planet. Sci."
"Annual Review of Fluid Mechanics","Annu. Rev. Fluid Mech."
"Annual Review of Nuclear Science","Annu. Rev. Nucl. Sci."
"Annual Review of Physical Chemistry","Ann. Phys. Chem."
"Antarctic Science","Antarct. Sci."
"Anticancer Research","Anticancer Res."
"Applied Geochemistry","Appl. Geochem."
"Applied Geography","Appl. Geogr."
"Applied Geophysics","Appl. Geophys."
"Applied Materials Today","Appl. Mater. Today"
"Applied Mathematical Modelling","Appl. Math. Model."
"Applied Mathematics Letters","Appl. Math. Lett."
"Applied Mathematics and Computation","Appl. Math. Comput."
"Applied Mechanics Reviews","Appl. Mech. Rev."
"Applied Optics","Appl. Opt."
"Applied Physics A: Materials Science & Processing","Appl. Phys. Mater. Sci. Process."
"Applied Physics A","Appl. Phys. A"
"Applied Physics B","Appl. Phys. B"
"Applied Physics Express","Appl. Phys. Express"
"Applied Physics Letters","Appl. Phys. Lett."
"Applied Physics Reviews","Appl. Phys. Rev."
"Applied Sciences (Switzerland)","Appl. Sci. Switz."
"Applied Scientific Research","Appl. Sci. Res."
"Applied Spectroscopy","Appl. Spectrosc."
"Aquatic Geochemistry","Aquat. Geochem."
"Aquatic Sciences","Aquat. Sci."
"Archives of Mining Sciences","Arch. Min. Sci."
"Arkiv foer Fysik","Ark. Fys."
"Asian Journal of Experimental Sciences","Asian J. Exp. Sci."
