"Acta Physica Polonica-Series A General Physics","Acta Phys. Pol.-Ser. Gen. Phys."
"Annals of Physics (Amsterdam, Netherlands)","Ann. Phys. (Amsterdam, Neth.)"
"Annalen der Physik","Ann. Phys. (Berl.)"
"Astronomical Journal","Astron. J."
"Astronomy Journal","Astron. J."
"Astrophysics Journal","Astrophys. J."
"Astrophysics Journal Supplement Series","Astrophys. J. Suppl. Ser."
"Astrophysical Journal, Letters to the Editor","Astrophys. J. Lett."
"Astrophysical Journal, Supplement Series","Astrophys. J. Suppl. Ser."
"Astrophysical Journal","Astrophys. J."
"Astrophysics and Space Science","Astrophy. Space Sci."
"Beiträge Zur Physik der Atmosphäre","Beitr. Zur Phys. Atmosphäre"
"Chinese Journal of Physics [translation of Wuli Xuebao (Acta Physica Sinica)]","Chin. J. Phys."
"Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences, Serie B: Sciences Physiques","C. R. Acad. Sci. Ser. B"
"Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences, Serie A: Sciences Mathématiques","C. R. Acad. Sci. Ser. A"
"Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences","C. R. Acad. Sci."
"Comptes Rendus de l'Académie des Sciences - Series I - Mathematics","C. R. Acad. Sci. Paris, Ser. I"
"Comptes Rendus de l'Académie des Sciences - Series I - Mathematics","Comptes Rendus Académie Sci. - Ser. - Math."
"Comptes Rendus Physique","C. R. Physique"
"Comptes Rendus Physique","Comptes Rendus Phys."
"Czechoslovak Journal of Physics","Czechoslov. J. Phys."
"European Physical Journal A: Hadrons and Nuclei","Eur. Phys. J. A"
"European Physical Journal AM: Applied Metamaterials","Eur. Phys. J. AM"
"European Physical Journal AP: Applied Physics","Eur. Phys. J. AP"
"European Physical Journal B: Condensed Matter and Complex Systems","Eur. Phys. J. B"
"European Physical Journal C: Particles and Fields","Eur. Phys. J. C"
"European Physical Journal D: Atomic, Molecular, Optical and Plasma Physics","Eur. Phys. J. D"
"European Physical Journal DS: Data Science","Eur. Phys. J. DS"
"European Physical Journal E: Soft Matter and Biological Physics","Eur. Phys. J. E"
"European Physical Journal H: Historical Perspectives on Contemporary Physics","Eur. Phys. J. H"
"European Physical Journal N: Nuclear Sciences and Technologies","Eur. Phys. J. N"
"European Physical Journal NBP: Nonlinear Biomedical Physics","Eur. Phys. J. NBP"
"European Physical Journal Plus","Eur. Phys. J. Plus"
"European Physical Journal PV: Photovoltaics","Eur. Phys. J. PV"
"European Physical Journal QT: Quantum Technology","Eur. Phys. J. QT"
"European Physical Journal ST: Special Topics","Eur. Phys. J. ST"
"European Physical Journal TI: Techniques and Instrumentation","Eur. Phys. J. TI"
"European Physical Journal WOC: Web of Conferences","Eur. Phys. J. WOC"
"European Physics Journal B: Condensed Matter","Eur. Phys. J. B"
"European Physics Journal C: Particles and Fields","Eur. Phys. J. C"
"European Physics Journal D: Atomic, Molecular, and Optical Physics","Eur. Phys. J. D"
"European Physics Journal E: Soft Matter","Eur. Phys. J. E"
"European Physical Journal Applied Physics","Eur. Phys. J. Appl. Phys."
"European Physical Journal B: Condensed Matter and Complex Systems","Eur. Phys. J. B-Condens. Matter Complex Syst."
"General Relativity and Gravitation","Gen. Relativ. Gravitation"
"Helvetica Physica Acta","Helvetica Phys. Acta"
"IEEE Journal of Selected Topics in Quantum Electronics","IEEE J. of Sel. Top. Quantum Electron."
"IEEE Transactions on Microwave Theory and Techniques","IEEE Trans. Microwave Theory Tech."
"Japanese Journal of Applied Physics Part 1","Jpn. J. Appl. Phys., Part 1"
"Japanese Journal of Applied Physics Part 2","Jpn. J. Appl. Phys., Part 2"
"JETP Letters [translation of Pisma v Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki]","JETP Lett."
"Journal de Physique IV","J. Phys. IV Fr."
"Journal of Chemical Physics","J. Chem. Phys."
"Journal of Electronic Materials","J. Electronic Mater."
"Journal of Physics A: Mathematical and General","J. Phys. A"
"Journal of Physics A: Mathematical and Theoretical","J. Phys. Math. Theor."
"Journal of Physics B: Atomic, Molecular and Optical","J. Phys. B"
"Journal of Physics C: Solid State Physics","J. Phys. C"
"Journal of Physics C: Solid State Physics","J. Phys. C Solid State Phys."
"Journal of Physics D: Applied Physics","J. Phys. Appl. Phys."
"Journal of Physics G: Nuclear and Particle Physics","J. Phys. G"
"Journal of Physics: Condensed Matter","J. Phys. Condens. Matter"
"Journal of Physics: Conference series","J. Phys. Conf. Series"
"Journal of Quantitative Spectroscopy & Radiative Transfer","J. Quant. Spectrosc. Radiat. Transfer"
"Journal of Statistical Mechanics: Theory and Experiment","J. Stat. Mech."
"Journal of Statistical Mechanics: Theory and Experiment","J. Stat. Mech: Theory Exp."
"Physica A: Statistical Mechanics and its Applications","Physica A"
"Journal of Vacuum Science and Technology B: Microelectronics and Nanometer Structures","J. Vac. Sci. Technol., B"
