"AAPG Bulletin","AAPG Bull."
"AAPG Memoir","AAPG Mem."
"ACA Transactions","ACA Trans."
"ACH - Models in Chemistry","ACH - Models Chem."
"ACI Materials Journal","ACI Mater. J."
"ACS Applied Materials & Interfaces","ACS Appl. Mater. Interfaces"
"ACS Chemical Biology","ACS Chem. Biol."
"ACS Chemical Neuroscience","ACS Chem. Neurosci."
"ACS Medicinal Chemistry Letters","ACS Med. Chem. Lett."
"ACS Symposium Series","ACS Symp. Ser."
"AEU International Journal of Electronics and Communications","AEU Int. J. Electron. Commun."
"AGSO Journal of Australian Geology and Geophysics","AGSO J. Aust. Geol. Geophys."
"AIChE Journal","AlChE J."
"AIChE Symposium Series","AIChE Symp. Ser."
"AQEIC Boletin Tecnico","AQEIC Bol. Tec."
"ASTM Specical Technical Publication","ASTM Spec. Tech. Publ."
"Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","Abh. Senckb. Naturforsch. Ges."
"Accident Analysis and Prevention","Accid. Anal. Prev."
"Accounts of Chemical Research","Acc. Chem. Res."
"Accreditation and Quality Assurance","Accredit. Qual. Assur."
"Acoustical Imaging","Acoust. Imaging"
"Acoustical Physics","Acoust. Phys."
"Acoustics Research Letters Online","Acoust. Res. Lett. Online"
"Acoustics Today","Acoust. Today"
"Acta Agriculturae Scandinavica Section A: Animal Science","Acta Agric. Scand. Sect A"
"Acta Agriculturae Scandinavica Section B: Soil and Plant Science","Acta Agric. Scand. Sect B"
"Acta Astronautica","Acta Astronaut."
"Acta Automatica Sinica","Acta Autom. Sin."
"Acta Biochimica Polonica","Acta Biochim. Pol."
"Acta Biochimica et Biophysica Sinica","Acta Biochim. Biophys. Sin."
"Acta Biologica et Medica Germanica","Acta Biol. Med. Ger."
"Acta Biomaterialia","Acta Biomater."
"Acta Bioquimica Clinica Latinoamericana","Acta Bioquim. Clin. Latinoam."
"Acta Biotechnologica","Acta Biotechnol."
"Acta Chemica Scandinavica","Acta Chem. Scand."
"Acta Chemica Scandinavica, Series A: Physical and Inorganic Chemistry","Acta Chem. Scand. Ser. A"
"Acta Chemica Scandinavica, Series B: Organic Chemistry and Biochemistry","Acta Chem. Scand. Ser. B"
"Acta Chimica Sinica","Acta Chim. Sinica"
"Acta Chromatographica","Acta Chromatogr."
"Acta Cienceia Indica Chemistry","Acta Cienc. Indica, Chem."
"Acta Ciencia Indica Phyics","Acta Cienc. Indica, Phys."
"Acta Crystallographica Section A: Foundations","Acta Crystallogr., Sect. A: Found. Crystallogr."
"Acta Crystallographica Section B: Structural Science","Acta Crystallogr., Sect. B: Struct. Sci"
"Acta Crystallographica Section C: Crystal Structure Communications","Acta Crystallogr., Sect. C: Cryst. Struct. Commun."
"Acta Crystallographica Section D: Biological Crystallography","Acta Crystallogr., Sect. D: Biol. Crystallogr."
"Acta Crystallographica Section E Structure Reports Online","Acta Crystallogr., Sect. E: Struct. Rep. Online"
"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","Acta Crystallogr., Sect. F: Struct. Biol. Cryst. Commun."
"Acta Farmaceutica Bonaerense","Acta Farm. Bonaerense"
"Acta Geodynamics et Geomaterialia","Acta Geodyn. Geomater."
"Acta Geologica Sinica","Acta Geol. Sin."
"Acta Geophysica","Acta Geophys."
"Acta Geotechnica","Acta Geotech."
"Acta Histochemica","Acta Histochem."
"Acta Horticulturae","Acta Hortic."
"Acta Hydrochimica et Hydrobiologica","Acta Hydroch. Hydrob."
"Acta Materialia","Acta Mater."
"Acta Mechanica","Acta Mech."
"Acta Mechanica Sinica","Acta Mech. Sin."
"Acta Mechanica Solida Sinica","Acta Mech. Solida Sin."
"Acta Metallurgica","Acta Metall."
"Acta Metallurgica Sinica","Acta Metall. Sinica"
"Acta Metallurgica et Materialia","Acta Metall. Mater."
"Acta Neuropathologica","Acta Neuropathol. (Berl.)"
"Acta Oceanologica Sinica","Acta Oceanolog. Sin."
"Acta Odontologica Scandinavica","Acta Odontol. Scand."
"Acta Pharmacologica Sinica","Acta Pharmacol. Sin."
"Acta Physica Debrecina","Acta Phys. Debrecina"
"Acta Physica Polonica A","Acta Phys. Pol. A"
"Acta Physica Polonica B","Acta Phys. Pol. B"
"Acta Physica Polonica Proceedings Supplement","Acta Phys. Pol. B. Proc. Suppl."
"Acta Physica et Chimica Debrecina","Acta Phys. Chim. Debrecina"
"Acta Physico-Chimica Sinica","Acta Phys. Chim. Sin."
"Acta Physiologica Scandinavica","Acta Physiol. Scand."
"Acta Polymerica","Acta Polym."
"Acta Polytechnica Scandinavica - Chemical Technology Series","Acta Polytech. Scand., Chem. Technol. Ser"
"Acta Seismologica Sinica","Acta Seismol. Sin."
