"Abdominal IMAging","Abdom Imaging","",""
"Academic Emergency Medicine","Acad Emerg Med","",""
"Academic Medicine","Acad Med","",""
"Academic Radiology","Acad Radiol","",""
"Accident Analysis and Prevention","Accid Anal Prev","",""
"ACP Journal Club","ACP J Club","",""
"Acta Anaesthesiologica Belgica","Acta Anaesthesiol Belg","",""
"Acta Anaesthesiologica Scandinavica","Acta Anaesthesiol Scand","",""
"Acta Anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol Scand Suppl","",""
"Acta Anatomica","Acta Anat (Basel)","",""
"Acta Biochimica Polonica","Acta Biochim Pol","",""
"Acta Biologica Hungarica","Acta Biol Hung","",""
"Acta Bio-Medica de L Ateneo Parmense","Acta Biomed Ateneo Parmense","",""
"Acta Biotheoretica","Acta Biotheor","",""
"Acta Cardiologica","Acta Cardiol","",""
"Acta Chemica Scandinavica","Acta Chem Scand","",""
"Acta Chirurgiae Plasticae","Acta Chir Plast","",""
"Acta Chirurgica Belgica","Acta Chir Belg","",""
"Acta Chirurgica Hungarica","Acta Chir Hung","",""
"Acta Chirurgica Iugoslavica","Acta Chir Iugosl","",""
"Acta Cientifica Venezolana","Acta Cient Venez","",""
"Acta Clinica Belgica","Acta Clin Belg","",""
"Acta Clinica Belgica. Supplementum","Acta Clin Belg Suppl","",""
"Acta Crystallographica. Section A, Foundations of Crystallography","Acta Crystallogr A","",""
"Acta Crystallographica. Section B, Structural Science","Acta Crystallogr B","",""
"Acta Crystallographica. Section C, Crystal Structure Communications","Acta Crystallogr C","",""
"Acta Cytologica","Acta Cytol","",""
"Acta Dermato-Venereologica","Acta Derm Venereol","",""
"Acta Dermato-Venereologica. Supplementum","Acta Derm Venereol Suppl (Stockh)","",""
"Acta Diabetologica","Acta Diabetol","",""
"Acta Europaea Fertilitatis","Acta Eur Fertil","",""
"Acta Gastroenterologica Belgica","Acta Gastroenterol Belg","",""
"Acta Gastroenterologica Latinoamericana","Acta Gastroenterol Latinoam","",""
"Acta Geneticae Medicae Et Gemellologiae","Acta Genet Med Gemellol (Roma)","",""
"Acta Haematologica","Acta Haematol","",""
"Acta Histochemica","Acta Histochem","",""
"Acta Histochemica. Supplementband","Acta Histochem Suppl","",""
"Acta Leprologica","Acta Leprol","",""
"Acta Medica Austriaca","Acta Med Austriaca","",""
"Acta Medica Croatica","Acta Med Croatica","",""
"Acta Medica (Hradec Kralove)","Acta Medica (Hradec Kralove)","",""
"Acta Medica (Hradec Kralove). Supplementum","Acta Medica (Hradec Kralove) Suppl","",""
"Acta Medica Okayama","Acta Med Okayama","",""
"Acta Medica Portuguesa","Acta Med Port","",""
"Acta Microbiologica Bulgarica","Acta Microbiol Bulg","",""
"Acta Microbiologica Et Immunologica Hungarica","Acta Microbiol Immunol Hung","",""
"Acta Microbiologica Polonica","Acta Microbiol Pol","",""
"Acta Neurobiologiae Experimentalis","Acta Neurobiol Exp (Warsz)","",""
"Acta Neurochirurgica","Acta Neurochir (Wien)","",""
"Acta Neurochirurgica. Supplementum","Acta Neurochir Suppl (Wien)","",""
"Acta Neurologica Belgica","Acta Neurol Belg","",""
"Acta Neurologica Scandinavica","Acta Neurol Scand","",""
"Acta Neurologica Scandinavica. Supplementum","Acta Neurol Scand Suppl","",""
"Acta Neuropathologica","Acta Neuropathol (Berl)","",""
"Acta Obstetricia Et Gynecologica Scandinavica","Acta Obstet Gynecol Scand","",""
"Acta Obstetricia Et Gynecologica Scandinavica. Supplement","Acta Obstet Gynecol Scand Suppl","",""
"Acta Odontologica Scandinavica","Acta Odontol Scand","",""
"Acta Oncologica","Acta Oncol","",""
"Acta Ophthalmologica Scandinavica","Acta Ophthalmol Scand","",""
"Acta Ophthalmologica Scandinavica. Supplement","Acta Ophthalmol Scand Suppl","",""
"Acta Orthopaedica Belgica","Acta Orthop Belg","",""
"Acta Orthopaedica Scandinavica","Acta Orthop Scand","",""
"Acta Orthopaedica Scandinavica. Supplementum","Acta Orthop Scand Suppl","",""
"Acta Oto-Laryngologica","Acta Otolaryngol (Stockh)","",""
"Acta Oto-Laryngologica. Supplement","Acta Otolaryngol Suppl (Stockh)","",""
"Acta Oto-Rhino-Laryngologica Belgica","Acta Otorhinolaryngol Belg","",""
"Acta Otorhinolaryngologica Italica","Acta Otorhinolaryngol Ital","",""
"Acta Otorrinolaringologica Espanola","Acta Otorrinolaringol Esp","",""
"Acta Paediatrica","Acta Paediatr","",""
"Acta Paediatrica Japonica","Acta Paediatr Jpn","",""
"Acta Paediatrica. Supplement","Acta Paediatr Suppl","",""
"Acta Pharmaceutica Hungarica","Acta Pharm Hung","",""
"Acta Physiologica Hungarica","Acta Physiol Hung","",""
"Acta Physiologica Et Pharmacologica Bulgarica","Acta Physiol Pharmacol Bulg","",""
"Acta Physiologica, Pharmacologica Et Therapeutica Latinoamericana","Acta Physiol Pharmacol Ther Latinoam","",""
"Acta Physiologica Scandinavica","Acta Physiol Scand","",""
"Acta Physiologica Scandinavica. Supplementum","Acta Physiol Scand Suppl","",""
"Acta Poloniae Pharmaceutica","Acta Pol Pharm","",""
"Acta Psychiatrica Scandinavica","Acta Psychiatr Scand","",""
"Acta Psychiatrica Scandinavica. Supplementum","Acta Psychiatr Scand Suppl","",""
"Acta Psychologica","Acta Psychol (Amst)","",""
"Acta Radiologica","Acta Radiol","",""
"Acta Radiologica. Supplementum","Acta Radiol Suppl","",""
"Acta Stomatologica Belgica","Acta Stomatol Belg","",""
"Acta Tropica","Acta Trop","",""
"Acta Universitatis Carolinae. Medica","Acta Univ Carol [Med] (Praha)","",""
"Acta Universitatis Carolinae. Medica. Monographia","Acta Univ Carol Med Monogr","",""
"Acta Universitatis Palackianae Olomucensis Facultatis Medicae","Acta Univ Palacki Olomuc Fac Med","",""
"Acta Urologica Belgica","Acta Urol Belg","",""
"Acta Veterinaria Hungarica","Acta Vet Hung","",""
"Acta Veterinaria Scandinavica","Acta Vet Scand","",""
"Acta Veterinaria Scandinavica. Supplement","Acta Vet Scand Suppl","",""
"Acta Virologica","Acta Virol","",""
"Psiquiatria Y Ciencias Afines Actas Luso Esp Neurol Psiquiatr Cien","Afines","",""
"Actas Urologicas Espanolas","Actas Urol Esp","",""
"Acupuncture and Electro-Therapeutics Research","Acupunct Electrother Res","",""
"Addiction","Addiction","",""
"Addictive Behaviors","Addict Behav","",""
"Administration and Policy In Mental Health","Adm Policy Ment Health","",""
"Adolescence","Adolescence","",""
"Advances In Anatomy, Embryology and Cell Biology","Adv Anat Embryol Cell Biol","",""
"Advances In Applied Microbiology","Adv Appl Microbiol","",""
"Advances In Biochemical Engineering/Biotechnology","Adv Biochem Eng Biotechnol","",""
"Advances In Biochemical Psychopharmacology","Adv Biochem Psychopharmacol","",""
"Advances In Biophysics","Adv Biophys","",""
"Advances In Cancer Research","Adv Cancer Res","",""
"Advances In Carbohydrate Chemistry and Biochemistry","Adv Carbohydr Chem Biochem","",""
"Advances In Cardiac Surgery","Adv Card Surg","",""
"Advances In Cardiology","Adv Cardiol","",""
"Advances In Child Development and Behavior","Adv Child Dev Behav","",""
"Advances In Chromatography","Adv Chromatogr","",""
"Advances In Clinical Chemistry","Adv Clin Chem","",""
"Advances In Colloid and Interface Science","Adv Colloid Interface Sci","",""
"Advances In Contraception","Adv Contracept","",""
"Advances In Dermatology","Adv Dermatol","",""
"Advances In Enzyme Regulation","Adv Enzyme Regul","",""
"Advances In Enzymology and Related Areas of Molecular Biology","Adv Enzymol Relat Areas Mol Biol","",""
"Advances In Experimental Medicine and Biology","Adv Exp Med Biol","",""
"Advances In Food and Nutrition Research","Adv Food Nutr Res","",""
"Advances In Genetics","Adv Genet","",""
"Advances In Human Genetics","Adv Hum Genet","",""
"Advances In Immunology","Adv Immunol","",""
"Advances In Inorganic Biochemistry","Adv Inorg Biochem","",""
"Advances In Internal Medicine","Adv Intern Med","",""
"Advances In Lipid Research","Adv Lipid Res","",""
"Advances In Microbial Physiology","Adv Microb Physiol","",""
"Advances In Nephrology From The Necker Hospital","Adv Nephrol Necker Hosp","",""
"Advances In Neurology","Adv Neurol","",""
"Advances In Nutritional Research","Adv Nutr Res","",""
"Advances In Operative Orthopaedics","Adv Oper Orthop","",""
"Advances In Oto-Rhino-Laryngology","Adv Otorhinolaryngol","",""
