Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
Information Retrieval Facility Conference,IRFC,CORE2018,Unranked,none,none,0806,0,N/A
International Conference on Advanced Communications and Computation,INFOCOMP,CORE2023,Unranked,none,none,46,0,N/A
"International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,none,https://dblp.uni-trier.de/db/conf/ant,4606,1,4.0
1st International Conference on Building Energy and Environment,COBEE,ERA2010,,none,none,1202,0,N/A
1st International Conference on Engineering Management,ICEM,ERA2010,,none,none,09,0,N/A
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B,none,none,0903,0,N/A
3-D Digital Imaging and Modelling,3DIM,CORE2018,C,none,none,0801,0,N/A
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2018,C,none,none,0802,0,N/A
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/hcomp,4608,0,N/A
AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B,none,none,09,1,4.0
Accelerating excellence in the built environment World Conference,WCAEBE,ERA2010,C,none,none,1202,0,N/A
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2018,Australasian,none,none,0806,0,N/A
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/sera,4612,1,4.0
ACM Annual Computer Science Conference,CSC,CORE2018,C,none,none,08,0,N/A
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sigcomm,4606,1,5.0
ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/ccs,4604,0,N/A
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/cscw,4608,1,5.0
ACM Conference on Digital Libraries,JCDL,CORE2018,A*,none,https://dblp.uni-trier.de/db/conf/jcdl,0806,2,4.5
ACM Conference on Economics and Computation,EC,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sigecom,4602,2,5.0
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sensys,4606,0,N/A
ACM Conference on Embedded Software,EMSOFT,CORE2023,Journal published,none,https://dblp.uni-trier.de/db/conf/emsoft,4606,0,N/A
ACM Conference on Hypertext and Social Media,Hypertext,CORE2018,A,none,https://dblp.uni-trier.de/db/conf/ht,0805,0,N/A
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/oopsla,4612,0,N/A
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,none,https://dblp.org/db/conf/wisec/index.html,4604,0,N/A
ACM Creativity and Cognition,CC,ERA2010,A,none,none,1203,1,5.0
ACM Digital Rights Management Workshop,DRM,CORE2018,C,none,none,0803,0,N/A
ACM Information Technology Education,SIGITE,CORE2023,National: USA,none,https://dblp.uni-trier.de/db/conf/sigite,4608,1,N/A
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,CORE2023,TBR,See note,https://dblp.uni-trier.de/db/conf/fpga/index.html,CSE,1,5.0
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,See note,none,4607,0,N/A
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/gis,4601,0,N/A
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/conext,4606,1,5.0
ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/cikm,4605,0,N/A
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,CORE2023,Journal Published,none,https://dblp.uni-trier.de/db/conf/tabletop,4608,1,4.0
ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/kdd,4605,1,N/A
ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/mobicom,4606,0,N/A
ACM International Conference on Recommender Systems,RecSys,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/recsys,4605,0,N/A
ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sigir,4605,0,N/A
ACM International Conference on Supercomputing,ICS,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/ics,CSE,0,N/A
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,CORE2018,A,none,none,0805,0,N/A
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,CORE2023,A*,none,https://dblp.org/db/conf/sigsoft,4612,6,5.0
ACM International Conference on Web Search and Data Mining,WSDM,CORE2023,A,See note,https://dblp.uni-trier.de/db/conf/wsdm,4605,0,N/A
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,CORE2023,journal published,none,https://dblp.uni-trier.de/db/conf/huc,4608,0,N/A
ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/isca,CSE,0,N/A
ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/hpdc,4606,0,N/A
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/iwcmc,4606,1,N/A
ACM International Workshop On Multimedia Databases,MMDB,CORE2018,C,none,none,0804,0,N/A
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,ERA2010,B,none,none,1005,0,N/A
ACM Multimedia,ACMMM,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/mm,4603,3,5.0
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/siggraph,4607,1,5.0
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,CORE2018,Australasian,none,none,0806,0,N/A
ACM SIGCOMM Internet Measurement Conference,ACM IMC,ERA2010,A,none,none,1005,0,N/A
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/sca,4607,1,4.0
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,CORE2018,C,none,none,0804,0,N/A
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,CORE2018,B,none,https://dblp.uni-trier.de/db/conf/sigcpr,0806,0,N/A
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/mobisys,4606,5,5.0
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/pods,4605,0,N/A
ACM SIGOPS European Workshops,SIGOPS-EW,ERA2010,C,none,none,0803,0,N/A
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sosp,4606,0,N/A
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/lctrts,4606,0,N/A
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,CORE2023,C,none,https://dblp.uni-trier.de/db/conf/pepm,4612,0,N/A
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,CORE2018,C,none,none,0803,0,N/A
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B,none,https://dblp.uni-trier.de/db/conf/pads,4606,0,N/A
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,CORE2017,B,none,none,0803,0,N/A
ACM SIGUCCS Conference on User Services,SIGUCCS,CORE2023,National: USA,none,https://dblp.uni-trier.de/db/conf/siguccs,4601,0,N/A
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2023,A,none,https://dblp.uni-trier.de/db/conf/sigcse,4608,0,N/A
ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*,none,https://dblp.uni-trier.de/db/conf/sigmod,4605,0,N/A
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2023,B,none,https://dblp.org/db/conf/group/index.html,4608,1,N/A
