Id,Title,Acronym,Source,Rank,unknown,FoRA,FoRB,FoRC
2172, International Conference on Advanced Communications and Computation,INFOCOMP,CORE2023,Unranked,Yes,46,,
2189," International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,Yes,4606,,
2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,Yes,4608,4605,
9,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2023,C,No,4612,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*,Yes,4606,,
12,ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,Yes,4604,,
13,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,No,4608,,
14,ACM Conference on Economics and Computation,EC,CORE2023,A*,Yes,4602,4613,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,Yes,4606,,
16,ACM Conference on Embedded Software,EMSOFT,CORE2023,Journal published,Yes,4606,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2023,A,Yes,4612,,
2313,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,Yes,4604,,
21,ACM Information Technology Education,SIGITE,CORE2023,National: USA,No,4608,,
2319,ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,CORE2023,TBR,No,CSE,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,No,4607,4608,
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A,Yes,4601,4611,4605
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A,No,4606,,
25,ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A,Yes,4605,4602,
1488,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,CORE2023,Journal Published,Yes,4608,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,Yes,4605,4611,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,Yes,4606,,
28,ACM International Conference on Recommender Systems,RecSys,CORE2023,A,Yes,4605,,
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*,Yes,4605,,
30,ACM International Conference on Supercomputing,ICS,CORE2023,A,Yes,CSE,4606,
52,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,CORE2023,A*,Yes,4612,,
31,ACM International Conference on Web Search and Data Mining,WSDM,CORE2023,A,Yes,4605,4611,
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,CORE2023,journal published,No,4608,,
