"WORDS";"ABBREVIATIONS";"LANGUAGES"
"'s-Graveland";"n.a.";"dut"
"'s-Gravenhage";"n.a.";"dut"
"'s-Gravenmoer";"n.a.";"dut"
"'s-Heerenberg";"n.a.";"dut"
"'s-Hertogenbosch";"n.a.";"dut"
"-agōgē";"-ag.";"gre"
"-aineisto";"-ain.";"fin"
"-Alföld";"-Alf.";"hun"
"-arvio";"n.a.";"fin"
"-asema";"-as.";"fin"
"-asia";"n.a.";"fin"
"-baden";"-bad.";"ger"
"-band (book)";"-bd.";"ger"
"-bauten";"-baut.";"ger"
"-bearbeitung";"-bearb.";"ger"
"-bedrijven";"-bedr.";"dut"
"-berg";"-b.";"ger"
"-beskatning";"-beskat.";"dan"
"-bestand";"n.a.";"ger"
"-betrieb";"-betr.";"ger"
"-bírál-";"-bír.";"hun"
"-bizottság";"-biz.";"hun"
"-blad";"-bl.";"dut, dan"
"-boek";"-b.";"dut"
"-bog";"-b.";"dan"
"-bok";"-b.";"swe, nor"
"-bolag";"-bol.";"swe"
"-book";"-b.";"eng"
"-borough";"-brgh.";"eng"
"-bourg";"-bg.";"fre"
"-bourne";"-b.";"eng"
"-brief";"-br.";"ger"
"-buch";"-b.";"ger"
"-burg";"-bg.";"mul"
"-bürger";"-bürg.";"ger"
"-business";"-bus.";"eng"
"-byrå";"n.a.";"swe"
"-craft";"-cr.";"eng"
"-dannelse";"-dann.";"dan"
"-dienst";"-d.";"ger"
"-dorf";"-d.";"ger"
"-eläke";"n.a.";"fin"
"-erwerbung";"-erwerb.";"ger"
"-erzsébet";"-erzs.";"hun"
"-feger";"-feg.";"ger"
"-félag-";"-fél.";"ice"
"-field";"-f.";"eng"
"-fjernsyn";"n.a.";"dan"
"-fläche";"-fl.";"ger"
"-föring";"-för.";"swe"
"-forschung";"-forsch.";"ger"
"-forsyning";"-forsyn.";"dan"
"-fortegnelse";"-fortegn.";"dan"
"-frage";"-fr.";"ger"
"-främjande";"-främj.";"swe"
"-führung";"-führ.";"ger"
"-gehalt";"n.a.";"ger"
"-genesis";"-genes.";"mul"
"-gericht";"-ger.";"ger"
"-gespräch";"-gespr.";"ger"
"-gewerbe";"-gew.";"ger"
"-gøre-";"-gør.";"dan"
"-grad";"-gr.";"rus, hrv"
"-graf-";"-gr.";"rus"
"-graph-";"-gr.";"eng"
"-ground";"-gr.";"eng"
"-group";"-gr.";"eng"
"-gruppe";"-gr.";"eng"
"-handbuch";"-handb.";"ger"
"-handler";"-handl.";"dan"
"-heft";"-h.";"ger"
"-herberge";"-herb.";"ger"
"-hindringer";"-hindr.";"dan"
"-hoidj-";"-hoid.";"est"
"-hoito";"n.a.";"fin"
"-igazgat-";"-ig.";"hun"
"-innung";"-inn.";"ger"
"-intenzív";"-intenz.";"hun"
"-intéz-";"-int.";"hun"
"-jalostus";"-jal.";"fin"
"-jysk";"n.a.";"dan"
"-käsittely";"-käs.";"fin"
"-kassa";"-k.";"fin"
"-képzés";"-k.";"hun"
"-képző";"-k.";"hun"
"-keskus";"-k.";"fin"
"-kirja";"-k.";"fin"
"-kirkon";"-kirk.";"fin"
"-klausur";"-klaus.";"ger"
"-kohta";"n.a.";"fin"
"-kokoelma";"-kok.";"fin"
"-kokous";"-kok.";"fin"
"-krankheit-";"-krankh.";"ger"
"-kreis";"-kr.";"ger"
"-kunde";"-kd.";"dut, ger"
"-kundlich";"-kundl.";"ger"
"-kunta";"-kun.";"fin"
"-laivasto";"-laiv.";"fin"
"-land";"-l.";"eng, ger"
"-lap";"-l.";"hun"
"-lära";"-l.";"swe"
"-leben";"-leb.";"ger"
"-ledelse";"-led.";"dan"
"-lehti";"-l.";"fin"
"-leser";"-les.";"ger"
"-liikenne";"-liik.";"fin"
"-liitto";"-l.";"fin"
"-linie";"-lin.";"ger, dan"
"-lönd";"-l.";"ice"
"-mægling";"mægl.";"dan"
"-mæssig";"n.a.";"dan"
"-mager";"n.a.";"dan"
"-mestrene";"n.a.";"dan"
"-meter";"-m.";"eng, ger"
"-middel";"-m.";"dan"
"-midler";"-m.";"dan"
"-miklós";"-mikl.";"hun"
"-missbrauch";"-missbr.";"ger"
"-missbruk";"-missbr.";"swe"
